variant,seed,scenario,command_vx_m_s,command_wz_rad_s,command_height_m,actual_vx_m_s,actual_height_m,height_bias_mm,vx_full_interval_mae_m_s
history_gru,1011,stand_high,0,0,0.32,-0.003948474010336992,0.18040460782279866,-139.59539217720135,0.005110025461569194
history_gru,1011,forward,0.5,0,0.3,0.0001419718817842197,0.18004102357862523,-119.95897642137476,0.5001309104468673
history_gru,1011,reverse,-0.5,0,0.3,-0.0033408324252307553,0.1808342314212934,-119.16576857870658,0.4963272729851306
history_gru,1011,turn_left,0,1,0.3,-0.003447616655670481,0.18080727473096,-119.19272526903998,0.00475600514598591
history_gru,1011,turn_right,0,-1,0.3,-0.0023752311474250602,0.17937188192812714,-120.62811807187283,0.004032251992881356
history_gru,1022,stand_low,0,0,0.28,0.0005046025137700452,0.2254570447507337,-54.542955249266335,0.0032484922437597563
history_gru,1022,stand_mid,0,0,0.3,0.00039242109979882296,0.22548868939769207,-74.51131060230794,0.0032770491998367107
history_gru,1022,stand_high,0,0,0.32,0.0001745766916577325,0.22566265125711837,-94.33734874288163,0.0032868912258004457
history_gru,1022,forward,0.5,0,0.3,0.0003265296339394763,0.22532308326476047,-74.67691673523952,0.4994341965839267
history_gru,1022,reverse,-0.5,0,0.3,0.0005555578847608045,0.2261660327427731,-73.83396725722687,0.5005886182785034
history_gru,1022,turn_left,0,1,0.3,-0.0004678290812447407,0.22558497194616972,-74.41502805383027,0.0035351479371629464
history_gru,1022,turn_right,0,-1,0.3,-1.0051027624560899e-05,0.22450124606502553,-75.49875393497445,0.002564285115605344
history_gru,1033,stand_low,0,0,0.28,-0.005446509763006572,0.22363903586419842,-56.3609641358016,0.0063214231882648166
history_gru,1033,stand_mid,0,0,0.3,-0.006469822445724641,0.22398316341308896,-76.01683658691103,0.007408816758790636
history_gru,1033,stand_high,0,0,0.32,-0.0073674233000247755,0.22407625610954132,-95.92374389045868,0.008240646182428464
history_gru,1033,forward,0.5,0,0.3,-0.007327889446884006,0.22340056858377,-76.59943141622999,0.5079790341537446
history_gru,1033,reverse,-0.5,0,0.3,-0.00528512345321519,0.22401648121883366,-75.98351878116632,0.49409094453044233
history_gru,1033,turn_left,0,1,0.3,-0.00867640273389911,0.22480433552633095,-75.19566447366903,0.009382508714734285
history_gru,1033,turn_right,0,-1,0.3,-0.004441442068129823,0.22351098071624328,-76.4890192837567,0.005449655498255197
