variant,training_seed,scenario,evaluation_seed,height_command_m,height_signed_bias_mm,height_within_episode_std_mm,vx_signed_error_m_s,wz_signed_error_rad_s,height_full_interval_mae_mm,planar_speed_full_interval_m_s,tilt_full_interval_rad,nonwheel_netforce_full_interval_N,vx_full_interval_mae_m_s,wz_full_interval_mae_rad_s,terminated_count,truncated_count,done_count,steady_coverage,steady_samples,steady_segments,short_segments,short_retained_samples,reward_mean_diagnostic,leg_target_derivative_rms_rad_s,wheel_target_derivative_rms_rad_s2,leg_effort_derivative_rms_Nm_s,wheel_effort_derivative_rms_Nm_s
last_token_attention,1022,forward,301,0.3,-116.15493546254008,0.017754289017108685,-0.5035004273819018,0.0002941846489326514,115.50147479120642,0.00540726070610981,0.07925390435301233,48.92010476523638,0.5036405592635274,0.0037447930135481185,0,8,8,0.8995,14392,8,8,0,0.017001925512107847,0.001546671748241404,0.006385364044411594,0.25555270698814425,0.06032545571433395
last_token_attention,1022,reverse,301,0.3,-112.88984363102432,0.008454779214794768,0.49637566149035983,0.0025331449433543033,112.28473388683051,0.005365135137370089,0.059511110822902995,42.458602779567244,0.49637859040685,0.0060676248821228,0,8,8,0.8995,14392,8,8,0,0.017328116312279235,0.0021761191634168927,0.009650239553424311,0.30792999322348236,0.05689863451828305
last_token_attention,1022,turn_left,301,0.3,-109.34873617845909,0.008495310139202746,-0.0018564642622787423,-0.9910541347260607,108.75289811193943,0.003347280435034918,0.06410529410705203,49.05353246963024,0.0029637286555735044,0.9886412812173366,0,8,8,0.8995,14392,8,8,0,0.02007944597082678,0.0025690379366390867,0.014615836673209965,0.4201231201575844,0.14072707087213568
last_token_attention,1022,turn_right,301,0.3,-119.21880962642913,0.09609502359601,-0.0038762060026215485,0.9992017561135988,118.52201477624476,0.006130342258926248,0.0854567895924556,43.25960170426965,0.005078251301469209,1.0014193316586315,0,8,8,0.8995,14392,8,8,0,0.019911784835450818,0.007194492140776843,0.02787368538273695,0.923420258449133,0.2107578542523805
last_token_attention,1033,stand_low,301,0.28,-105.23357281793719,0.002024729166532425,-0.0035608044618645153,-0.0004181633146652247,104.63425357174128,0.007145593729248503,0.02959609655942768,125.92693261229992,0.006930386514058228,0.008999736567713626,0,8,8,0.8995,14392,8,8,0,0.02987736084527569,0.008670079000481595,0.0349234442517512,0.8480189469752796,1.562498859771923
last_token_attention,1033,stand_mid,301,0.3,-125.23506456709616,0.0023258809612183317,-0.0035816862826013505,-0.0002956222279262035,124.50187230668962,0.007168813993765071,0.02950580952560995,125.7907406759262,0.006956154407799659,0.00890558523263644,0,8,8,0.8995,14392,8,8,0,0.029887442374893,0.008297103744979786,0.03408927043714313,0.8416765492523395,1.5529559462528781
last_token_attention,1033,stand_high,301,0.32,-145.23420708689878,0.0018945151495864947,-0.003568642957241774,-0.00040152279994362964,144.4300376502797,0.007152732135404222,0.029559926274232567,126.13785891759396,0.006939985728535248,0.00891786030361618,0,8,8,0.8995,14392,8,8,0,0.02987417139147874,0.0075990891964486775,0.03333568949070118,0.7843048786058743,1.4847409418851163
last_token_attention,1033,forward,301,0.3,-125.2231943447468,0.0013548166584205312,-0.5029952578958939,0.0006270474680511546,124.46832937095314,0.008057458040560619,0.03145415622077417,125.86778052675724,0.5019817202985287,0.012085542286630358,0,8,8,0.8995,14392,8,8,0,0.017223432197217333,0.005760232032968898,0.03784277546975014,0.8213610709443022,1.5637716706436937
last_token_attention,1033,reverse,301,0.3,-125.45482966409013,0.003336179833772412,0.4968131256971576,-0.0015024562266910861,124.72689805366099,0.006281243148485373,0.056494208425516265,113.14178634136915,0.49708904875442383,0.008643478387580046,0,8,8,0.8995,14392,8,8,0,0.017308816682047107,0.007711790749407367,0.015126320389258013,0.5160163603414251,0.4461224138354211
last_token_attention,1033,turn_left,301,0.3,-125.2266641782846,0.0012632355758808891,-0.003602848539516908,-1.0006253153723508,124.49309215508401,0.0071812748114025455,0.03025259018148063,126.44682934457063,0.00697081024058366,0.9991082425862551,0,8,8,0.8995,14392,8,8,0,0.020137596747255883,0.006301914838422546,0.03312596556991939,0.7823954592660282,1.6341050707172828
