stage,variant,train_seed,height,status,metric,value,n,mean,sample_std
stage-b,baseline,44,,completed,optimization.first_update.first_step_normalized_mean_change_rms,0.17446769935749856,,,
stage-b,baseline,44,,completed,optimization.first_update.final_kl,0.09131687751361511,,,
stage-b,baseline,44,,completed,optimization.first_update.final_mean_kl,0.09131681748473916,,,
stage-b,baseline,44,,completed,optimization.first_update.final_std_kl,6.002887595551e-08,,,
stage-b,baseline,44,,completed,optimization.first_update.final_mean_change_rms,0.03489354039145398,,,
stage-b,baseline,44,,completed,optimization.first_update.final_std_mean,0.19999999552965164,,,
stage-b,baseline,44,,completed,optimization.last_update.actor_loss,-0.0031088441610336304,,,
stage-b,baseline,44,,completed,optimization.last_update.value_loss,0.005105641670525074,,,
stage-b,baseline,44,,completed,optimization.last_update.entropy,-1.1332507133483887,,,
stage-b,baseline,44,,completed,optimization.last_update.kl,0.0,,,
stage-b,baseline,44,,completed,optimization.last_update.clip_fraction,0.0,,,
stage-b,baseline,44,,completed,optimization.last_update.loss,0.0076630511321127415,,,
stage-b,baseline,44,,completed,optimization.last_update.auxiliary_loss,0.0,,,
stage-b,baseline,44,,completed,optimization.last_update.auxiliary_coef,0.0,,,
stage-b,baseline,44,,completed,optimization.last_update.grad_norm,2.595358371734619,,,
stage-b,baseline,44,,completed,optimization.last_update.optimizer_steps,1,,,
stage-b,baseline,44,,completed,optimization.last_update.planned_optimizer_steps,8,,,
stage-b,baseline,44,,completed,optimization.last_update.sample_count,4096,,,
stage-b,baseline,44,,completed,optimization.last_update.early_stopped,True,,,
stage-b,baseline,44,,completed,optimization.last_update.stop_kl,0.014035522937774658,,,
stage-b,baseline,44,,completed,optimization.last_update.initial_mean_abs,1.194681481304864,,,
stage-b,baseline,44,,completed,optimization.last_update.initial_std_mean,0.20032521337270737,,,
stage-b,baseline,44,,completed,optimization.last_update.initial_std_min,0.19989265501499176,,,
stage-b,baseline,44,,completed,optimization.last_update.initial_std_max,0.20048817992210388,,,
stage-b,baseline,44,,completed,optimization.last_update.first_step_kl,0.01403907956776601,,,
stage-b,baseline,44,,completed,optimization.last_update.first_step_mean_kl,0.01403907544010202,,,
stage-b,baseline,44,,completed,optimization.last_update.first_step_std_kl,4.127663990222137e-09,,,
stage-b,baseline,44,,completed,optimization.last_update.first_step_mean_change_rms,0.01369490192030331,,,
